2024-06-26 23:06:599 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-26 23:06:770 INFO  BuyPage :20 - click on buy and sell tab[[ChromeDriver: chrome on windows (1dd48e99a0e2b8edb5cb78b53a3f3be7)] -> xpath: //a[contains(text(),'buy + sell')]]
2024-06-26 23:06:949 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-26 23:06:625 INFO  BuyPage :20 - click on buy and sell tab[[ChromeDriver: chrome on windows (1233245d2ebcf7acee3b0548ca8994f2)] -> xpath: //a[contains(text(),'buy + sell')]]
2024-06-26 23:06:354 INFO  BuyPage :29 - click on new car[[ChromeDriver: chrome on windows (1233245d2ebcf7acee3b0548ca8994f2)] -> xpath: //a[@href='/buy-a-car/new-car-search']]
2024-06-26 23:06:335 INFO  BuyPage :40 - select make[[ChromeDriver: chrome on windows (1233245d2ebcf7acee3b0548ca8994f2)] -> xpath: //select[@id='make']]
2024-06-26 23:06:404 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-26 23:06:932 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-26 23:06:120 INFO  BuyPage :20 - click on buy and sell tab[[ChromeDriver: chrome on windows (8f2214c4610aa0a25df8ac1f14fffbf1)] -> xpath: //a[contains(text(),'buy + sell')]]
2024-06-26 23:06:915 INFO  BuyPage :29 - click on new car[[ChromeDriver: chrome on windows (8f2214c4610aa0a25df8ac1f14fffbf1)] -> xpath: //a[@href='/buy-a-car/new-car-search']]
2024-06-26 23:06:783 INFO  BuyPage :40 - select make[[ChromeDriver: chrome on windows (8f2214c4610aa0a25df8ac1f14fffbf1)] -> xpath: //select[@id='make']]
2024-06-26 23:06:965 INFO  BuyPage :49 - select model[[ChromeDriver: chrome on windows (8f2214c4610aa0a25df8ac1f14fffbf1)] -> xpath: //select[@id='model']]
2024-06-26 23:06:139 INFO  BuyPage :58 - select state[[ChromeDriver: chrome on windows (8f2214c4610aa0a25df8ac1f14fffbf1)] -> xpath: //select[@id='state']]
2024-06-26 23:06:284 INFO  BuyPage :69 - enter price[[ChromeDriver: chrome on windows (8f2214c4610aa0a25df8ac1f14fffbf1)] -> xpath: //select[@id='priceTo']]
2024-06-26 23:06:484 INFO  ManageBrowser :32 - Chrome Browser Launch.....
